NumberPlate,Type_Of_Vechile,TimeoFCross
AP09CF4617,Car,14/03/2020 10:38:32
AP09CF4617,Car,14/03/2020 10:40:42
AP09CF4617,Car,14/03/2020 10:41:45
AP09CF4617,Car,14/03/2020 10:42:44
AP09CF4617,Car,14/03/2020 10:44:41
AP09CF4617,Car,14/03/2020 10:46:09
AP09CF4617,Car,14/03/2020 10:47:17
AP09CF4617,Car,14/03/2020 10:48:18
AP09CF4617,Car,14/03/2020 10:50:48
AP09CF4617,Car,30/03/2020 19:57:43
MCLRNF1,Car,05/04/2020 12:26:44
MCLRNF1,Car,05/04/2020 12:46:37
Z00MN65,Bus,05/04/2020 19:25:46
MCLRNF1,Car,28/04/2020 02:55:35
KJ2OPX985,Lorry,28/04/2020 02:56:23
AP09CF4617,Car,28/04/2020 03:43:14
AP09CF4617,Car,28/04/2020 04:06:35
AP09CF4617,Car,28/04/2020 04:13:14
MCLRNF1,Car,29/04/2020 01:52:17
MCLRNF1,Car,29/04/2020 01:54:27
MCLRNF1,Car,29/04/2020 01:55:50
MCLRNF1,Car,29/04/2020 01:59:28
MCLRNF1,Car,29/04/2020 02:04:20
MCLRNF1,Car,29/04/2020 02:08:00
MCLRNF1,Car,29/04/2020 02:09:39
AP09CF4617,Car,29/04/2020 02:11:33
AP09CF4617,Car,29/04/2020 02:13:34
MCLRNF1,Car,29/04/2020 02:14:07
Z00MN65,Bus,29/04/2020 02:14:32
AP09CF4617,Car,29/04/2020 02:18:49
PNYEXPS,Car,29/04/2020 02:19:18
PNYEXPS,Car,29/04/2020 03:04:16
MCLRNF1,Car,29/04/2020 03:07:05
PNYEXPS,Car,29/04/2020 03:08:52
AP09CF4617,Car,29/04/2020 03:11:39
59786BA,Lorry,29/04/2020 03:17:29
119A2103,Bus,29/07/2020 21:22:19
AP09CF4617,Car,29/07/2020 21:30:27
AP09CF4617,Car,29/07/2020 21:40:17
AP09CF4617,Car,29/07/2020 21:42:34
AP09CF4617,Car,29/07/2020 22:00:27
AP09CF4617,Car,29/07/2020 22:03:05
